Vehicle Plate,State,Current State Since (HH:MM:SS),Device Status,Time,Odometer (km),Engine Hours (hrs),Fuel Level (Lts),Updated On,Adblue Level (Lts),Updated On.1,In Hub,In Hub Since (HH:MM:SS),Closest Hub,Address
HR38AF1826,MOVING,00:08:58,Connected,October 10 2024 02:15 pm,56118,1945.851944,237,October 10 2024 02:14 pm,39,October 10 2024 02:15 pm,Kishangarh To Bagru Road,04:23:46,-,"Jaipur-Kishangarh Expy, Dantri, Rajasthan 303008, India"
HR38AF7932,IDLING,00:01:14,Connected,October 10 2024 02:16 pm,50290,1917.1325,405,October 10 2024 01:16 pm,41,October 10 2024 12:01 pm,Agarwal Ready Mix Pvt Ltd. (Alwar),02:14:37,-,"Unnamed Road, Matsya Industrial Area, Alwar, Rajasthan 301030, India"
HR38AF2162,MOVING,00:00:58,Connected,October 10 2024 02:15 pm,55992,1948.818056,374,October 10 2024 02:14 pm,45,October 10 2024 02:14 pm,-,-,0.8 km from Ultratech Cement Ltd Jharli Loading area,"MDR130, Haryana 124106, India"
HR38AF6325,MOVING,00:00:47,Connected,October 10 2024 02:16 pm,40143,2079.375556,409,October 10 2024 02:13 pm,48,October 10 2024 12:14 pm,SAUHARD PROPERTIES PRIVATE LIMITED,34:21:50,-,"Unnamed Road, Khushkhera, Rajasthan 301707, India"
HR38AE4069,STOPPED,17:18:44,Connected,October 10 2024 02:10 pm,75311,2883.945556,238,October 09 2024 06:09 pm,48,October 09 2024 06:08 pm,-,-,2 km from Ultratech Cement Ltd (Kotputli),"Delhi - Jaipur Expy, Kanwarpura, Rajasthan 303108, India"
HR38AE8005,STOPPED,03:45:36,Connected,October 10 2024 02:03 pm,93966,3101.534167,249,October 10 2024 10:28 am,34,October 10 2024 03:02 am,HRY KUNDU BUILDTECH PRIVATE LIMITED,11:18:50,-,"Unnamed Road, Bagi, Uttar Pradesh 244901, India"
HR38AE4940,STOPPED,00:13:42,Connected,October 10 2024 02:11 pm,87177,3232.919167,228,October 10 2024 01:57 pm,51,October 10 2024 11:50 am,-,-,0.4 km from Ultratech Cement Ltd(Jharli Plant) parking area,"MDR130, Haryana 124142, India"
HR38AE2865,STOPPED,00:02:48,Connected,October 10 2024 02:11 pm,88020,2981.570556,248,October 10 2024 02:07 pm,41,October 10 2024 02:08 pm,-,-,0.2 km from SAPL S2,"Jharli - Mohanbari Rd, Mohanbari, Haryana 123303, India"
HR38AE3110,MOVING,00:07:51,Connected,October 10 2024 02:16 pm,570920,2646.551667,237,October 10 2024 02:13 pm,21,October 10 2024 02:14 pm,-,-,1 km from Rohan Builders India Pvt Ltd,"NH352, Sector-33A, Rohtak, Haryana 124021, India"
HR38AD9098,STOPPED,01:08:24,Connected,October 10 2024 02:14 pm,95693,3202.728611,197,October 10 2024 11:25 am,16,October 10 2024 11:10 am,SAPL parking,03:07:00,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AD9323,STOPPED,00:01:09,Connected,October 10 2024 02:16 pm,108524,3757.515278,199,October 10 2024 02:13 pm,27,October 10 2024 02:14 pm,PANDIT HOTEL JHARLI,00:04:45,-,"MDR130, Haryana 124106, India"
HR38AD7015,MOVING,00:08:54,Connected,October 10 2024 02:16 pm,97759,3287.484444,430,October 10 2024 02:12 pm,45,October 10 2024 02:13 pm,-,-,7 km from CONCERTINA COILS PVT. LTD.,"SH 20, Palra, Haryana 124103, India"
