Vehicle Plate,State,Current State Since (HH:MM:SS),Device Status,Time,Odometer (km),Engine Hours (hrs),Fuel Level (Lts),Updated On,Adblue Level (Lts),Updated On.1,In Hub,In Hub Since (HH:MM:SS),Closest Hub,Address
HR38AD4054,PARKED,02:27:33,No External Power,October 10 2024 11:42 am,83028,605.9963889,352,October 09 2024 05:18 am,12,October 09 2024 05:18 am,-,-,0 km from Shree Ashtech Pvt Ltd Plant,"F9PQ+7J IGSTPP, Haryana, India"
HR38AD7805,STOPPED,01:50:20,Connected,October 10 2024 02:12 pm,84115,3245.320833,391,October 10 2024 12:49 pm,36,October 10 2024 08:11 am,CLP Parking,06:05:21,-,"CLP MGSTPP, India"
HR38AE2874,STOPPED,09:06:38,Connected,October 10 2024 02:12 pm,89503,3024.8375,172,October 10 2024 05:08 am,29,October 10 2024 02:26 am,-,-,0.1 km from RDC Concrete India Private Limited(site - Ghevra metro station),"Unnamed Road, Block B, Tyagi Vihar, Ghevra, Delhi, 110081, India"
HR38AD5787,STOPPED,21:30:33,No External Power,October 10 2024 02:10 pm,95803,3131.395556,221,October 09 2024 04:41 pm,27,October 09 2024 03:39 pm,-,-,0 km from Shree Ashtech Pvt Ltd Plant,"F9PQ+7J IGSTPP, Haryana, India"
HR38AD8192,STOPPED,01:22:25,Connected,October 10 2024 02:10 pm,88877,3127.384444,216,October 10 2024 11:03 am,27,October 09 2024 01:46 pm,-,-,0 km from Shree Ashtech Pvt Ltd Plant,"F9PQ+7J IGSTPP, Haryana, India"
HR38AD7966,IDLING,00:02:06,Connected,October 10 2024 02:16 pm,104162,3410.741111,430,October 10 2024 02:11 pm,39,October 10 2024 01:31 pm,-,-,8 km from ZIP Enterprises Private Limited,"NH334B, Achhej, Haryana 124106, India"
HR38AD6257,STOPPED,01:16:41,Connected,October 10 2024 02:16 pm,99509,3265.325833,301,October 10 2024 11:03 am,19,October 10 2024 09:54 am,Wonder Cement Ltd (Jhanswa),04:23:02,-,"Unnamed Road, Haryana, India"
HR38AD7946,MOVING,00:03:05,Connected,October 10 2024 02:16 pm,102854,3354.668333,138,October 10 2024 02:14 pm,51,October 10 2024 12:33 pm,-,-,0.7 km from NTPC parking,"Unnamed Road, IGSTPP, Haryana 123303, India"
HR38AD3318,MOVING,00:01:04,Connected,October 10 2024 02:16 pm,92559,3372.465,404,October 10 2024 02:14 pm,34,October 10 2024 02:07 pm,-,-,5 km from Shri Shiv Shakti,"Delhi - Jaipur Expy, Bhabroo, Rajasthan 303119, India"
HR38AD2533,STOPPED,00:11:16,Connected,October 10 2024 02:15 pm,95915,3232.336667,260,October 10 2024 02:02 pm,41,October 10 2024 01:01 pm,-,-,0.1 km from SAHNI ROADWAYS,"Unnamed Road, Haryana 124106, India"
HR38AD2660,STOPPED,00:01:28,Connected,October 10 2024 02:15 pm,95316,3492.801667,401,October 10 2024 02:12 pm,44,October 09 2024 08:08 pm,Ultratech Cement Ltd (Kotputli),18:10:45,-,"Kansli - Koojota Rd, Koojota, Rajasthan 303108, India"
HR38AD9825,STOPPED,01:09:42,Connected,October 10 2024 02:15 pm,97326,3457.145,369,October 10 2024 01:01 pm,51,October 10 2024 12:59 pm,Wonder Cement Ltd (Jhanswa),03:07:57,-,"FCF5+F3 IGSTPP, Haryana, India"
HR38AD7089,STOPPED,01:51:33,Connected,October 10 2024 02:15 pm,91004,3170.848333,404,October 10 2024 02:14 pm,48,October 10 2024 12:22 pm,khandsa parking,01:59:33,-,"Behrampur Road, Opposite M.M. Aqua Industries Ltd., Khandsa, Gurugram, Haryana 122004, India"
HR38AD0422,STOPPED,00:09:59,Connected,October 10 2024 02:00 pm,102626,3683.209167,237,October 10 2024 09:57 am,24,October 10 2024 03:02 am,HRY KUNDU BUILDTECH PRIVATE LIMITED,11:17:41,-,"Unnamed Road, Bagi, Uttar Pradesh 244901, India"
HR38AD6831,IDLING,00:07:02,Connected,October 10 2024 02:15 pm,104070,3763.371667,383,October 10 2024 02:11 pm,48,October 10 2024 02:04 pm,-,-,5 km from Welkin India Incorporate (Site Kotputli),"Delhi - Jaipur Expy, Kotputli, Rajasthan 303108, India"
HR38AD7426,STOPPED,03:56:27,Connected,October 10 2024 02:06 pm,95922,1363.125,297,October 10 2024 10:13 am,31,October 10 2024 01:04 am,RDC Concrete India Private Limited (site Aerocity ),00:08:26,-,"L-382-C, NH48, L block, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
HR38AD7830,STOPPED,03:12:12,Connected,October 10 2024 02:15 pm,101650,3495.194722,336,October 10 2024 11:00 am,46,October 10 2024 10:58 am,Ultratech Cement Ltd (Kotputli),19:23:46,-,"Kansli - Koojota Rd, Koojota, Rajasthan 303108, India"
HR38AD9368,STOPPED,00:02:53,Connected,October 10 2024 02:14 pm,121258,3794.616389,383,October 10 2024 02:12 pm,41,October 10 2024 12:40 pm,CLP loading,01:36:30,-,"JPL plant Rd, Khorra -N, Haryana 124142, India"
HR38AD3397,MOVING,00:02:43,Connected,October 10 2024 02:15 pm,103169,3723.2525,159,October 10 2024 02:12 pm,51,October 10 2024 01:48 pm,NTPC parking,02:05:46,-,"Unnamed Road, IGSTPP, Haryana 123303, India"
HR38AC8964,STOPPED,04:02:03,Connected,October 10 2024 02:07 pm,112028,3876.386389,278,October 10 2024 10:12 am,41,October 09 2024 05:24 pm,Ultratech Cement Ltd(Jharli Plant) parking area,20:53:17,-,"Unnamed Road, Jhamri, Haryana 124142, India"
HR38AC1127,STOPPED,16:22:54,Connected,October 10 2024 02:15 pm,122746,4086.063333,334,October 09 2024 09:48 pm,44,October 09 2024 09:49 pm,Ultratech Cement Ltd(Jharli Plant) parking area,16:27:34,-,"G929+XG IGSTPP, Haryana, India"
HR38AC8085,STOPPED,01:21:22,Connected,October 10 2024 01:57 pm,118777,1670.07,231,October 10 2024 12:52 pm,34,October 10 2024 08:39 am,"Peeco Agencies Private Limited (Israna,Panipat)",21:55:10,-,"Pardhana-Shahpur Link Road, Pardhana, Haryana 132145, India"
